length,weight
25.4,242.0
26.3,290.0
26.5,340.0
29.0,363.0
29.0,430.0
29.0,450.0
29.0,500.0
30.0,390.0
30.0,450.0
30.7,500.0
31.0,475.0
31.0,500.0
31.5,340.0
32.0,600.0
32.0,600.0
32.0,700.0
33.0,610.0
33.0,650.0
33.5,575.0
33.5,685.0
34.0,620.0
34.0,680.0
34.0,700.0
34.5,725.0
35.0,720.0
35.0,714.0
35.0,850.0
35.0,1000.0
36.0,920.0
36.0,955.0
37.0,925.0
38.5,975.0
38.5,950.0
39.5,6.7
41.0,7.5
41.0,7.0
9.8,9.7
10.5,9.8
10.6,8.7
11.0,10.0
11.2,9.9
11.3,9.8
11.8,12.2
11.8,13.4
12.0,12.2
14.3,19.7
15.0,19.9
